kingdom,phylum,class,order,family,genus,subgenus,species,subspecies,authority,canonical,dwc:scientificName
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Acalitus,,acanthus,,"Meyer, 1990",Acalitus  acanthus ,"Acalitus acanthus Meyer, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Acalitus,,aethiopicus,,"Meyer, 1990",Acalitus  aethiopicus ,"Acalitus aethiopicus Meyer, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Acalitus,,ancyrivalis,,"Meyer, 1990",Acalitus  ancyrivalis ,"Acalitus ancyrivalis Meyer, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Acalitus,,crotoni,,"Meyer, 1990",Acalitus  crotoni ,"Acalitus crotoni Meyer, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Acalitus,,gratissimi,,"Meyer, 1990",Acalitus  gratissimi ,"Acalitus gratissimi Meyer, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Acalitus,,hereroensei,,"Meyer, 1990",Acalitus  hereroensei ,"Acalitus hereroensei Meyer, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Acalitus,,lycioides,,"Meyer, 1990",Acalitus  lycioides ,"Acalitus lycioides Meyer, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Acalitus,,malelanus,,"Meyer, 1990",Acalitus  malelanus ,"Acalitus malelanus Meyer, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Acalitus,,mallyi,,"Meyer, 1990",Acalitus  mallyi ,"Acalitus mallyi Meyer, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Acalitus,,marinae,,"Meyer, 1990",Acalitus  marinae ,"Acalitus marinae Meyer, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Acalitus,,pundamariae,,"Meyer, 1990",Acalitus  pundamariae ,"Acalitus pundamariae Meyer, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Acalitus,,tanylobus,,"Meyer, 1990",Acalitus  tanylobus ,"Acalitus tanylobus Meyer, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Acalitus,,ueckermanni,,"Meyer, 1990",Acalitus  ueckermanni ,"Acalitus ueckermanni Meyer, 1990"
Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Acanthocybium,,solandri,,"Cuvier, 1832",Acanthocybium  solandri ,"Acanthocybium solandri Cuvier, 1832"
Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,,vagus,,"Peters, 1852",Acanthopagrus  vagus ,"Acanthopagrus vagus Peters, 1852"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Aceria,,chiridensis,,"Meyer & Ueckermann, 1990",Aceria  chiridensis ,"Aceria chiridensis Meyer & Ueckermann, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Aceria,,hexensis,,"Meyer & Ueckermann, 1990",Aceria  hexensis ,"Aceria hexensis Meyer & Ueckermann, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Aceria,,keetchi,,"Meyer & Ueckermann, 1990",Aceria  keetchi ,"Aceria keetchi Meyer & Ueckermann, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Aceria,,ocellatum,,"Meyer & Ueckermann, 1990",Aceria  ocellatum ,"Aceria ocellatum Meyer & Ueckermann, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Aceria,,pentheriae,,"Meyer & Ueckermann, 1990",Aceria  pentheriae ,"Aceria pentheriae Meyer & Ueckermann, 1990"
Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,Aceria,,rhusi,,"Meyer & Ueckermann, 1990",Aceria  rhusi ,"Aceria rhusi Meyer & Ueckermann, 1990"
Animalia,Arthropoda,Hexanauplia,Siphonostomatoida,Pandaridae,Achtheinus,,oblongus,,"Wilson C.B., 1908",Achtheinus  oblongus ,"Achtheinus oblongus Wilson C.B., 1908"
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Aciagrion,,dondoense,,"Dijkstra, 2007",Aciagrion  dondoense ,"Aciagrion dondoense Dijkstra, 2007"
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Acisoma,,inflatum,,"Selys, 1882",Acisoma  inflatum ,"Acisoma inflatum Selys, 1882"
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Acisoma,,variegatum,,"Kirby, 1882",Acisoma  variegatum ,"Acisoma variegatum Kirby, 1882"
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Acnephalomyia,,andrenoides,,"(Wiedemann, 1828)",Acnephalomyia  andrenoides ,"Acnephalomyia andrenoides (Wiedemann, 1828)"
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Acnephalomyia,,dorsalis,,"(Macquart, 1838)",Acnephalomyia  dorsalis ,"Acnephalomyia dorsalis  (Macquart, 1838)"
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Acnephalomyia,,eremia,,"Londt, 2010",Acnephalomyia  eremia ,"Acnephalomyia eremia Londt, 2010"
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Acnephalomyia,,iota,,"Londt, 2010",Acnephalomyia  iota ,"Acnephalomyia iota Londt, 2010"
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Acnephalomyia,,leukoros,,"Londt, 2010",Acnephalomyia  leukoros ,"Acnephalomyia leukoros Londt, 2010"
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Acnephalomyia,,platygaster,,"(Loew, 1858)",Acnephalomyia  platygaster ,"Acnephalomyia platygaster (Loew, 1858)"
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Acnephalomyia,,probolos,,"Londt, 2010",Acnephalomyia  probolos ,"Acnephalomyia probolos Londt, 2010"
Animalia,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,Actinostola,,capensis,,"Carlgren, 1928",Actinostola  capensis ,"Actinostola capensis Carlgren, 1928"
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aegypius,Torgos,tracheliotus,,"(J. R. Forster, 1796)",Aegypius (Torgos) tracheliotus ,"Aegypius  (Torgos) tracheliotus (J. R. Forster, 1796)"
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aegypius,Trigonoceps,occipitalis,,"(Burchell, 1824)",Aegypius (Trigonoceps) occipitalis ,"Aegypius (Trigonoceps) occipitalis (Burchell, 1824)"
Animalia,Arthropoda,Arachnida,Araneae,Archaeidae,Afrarchaea,,ansieae,,"Lotz, 2015",Afrarchaea  ansieae ,"Afrarchaea ansieae Lotz, 2015"
Animalia,Arthropoda,Diplopoda,Polyxenida,Polyxenidae,Afraustraloxenodes,,hulleyi,,"Nguyen Duy-Jacquemin, 2003",Afraustraloxenodes  hulleyi ,"Afraustraloxenodes hulleyi Nguyen Duy-Jacquemin, 2003"
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Africallagma,,fractum,,"Ris, 1921",Africallagma  fractum ,"Africallagma fractum Ris, 1921"
Animalia,Arthropoda,Arachnida,Araneae,Trachelidae,Afroceto,,ansieae,,"Lyle, 2015",Afroceto  ansieae ,"Afroceto ansieae Lyle, 2015"
Animalia,Arthropoda,Arachnida,Araneae,Trachelidae,Afroceto,,dippenaarae,,"Lyle, 2015",Afroceto  dippenaarae ,"Afroceto dippenaarae Lyle, 2015"
Animalia,Arthropoda,Insecta,Hemiptera,Tropiduchidae,Afroelfus,,bothryogaster,,"Gnezdilov, 2012",Afroelfus  bothryogaster ,"Afroelfus bothryogaster Gnezdilov, 2012"
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Haplozetidae,Afroleius,,amieae,,"Coetzee, 2014",Afroleius  amieae ,"Afroleius amieae Coetzee, 2014"
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Haplozetidae,Afroleius,,caudatus,,"Coetzee, 2014",Afroleius  caudatus ,"Afroleius caudatus Coetzee, 2014"
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Haplozetidae,Afroleius,,crassus,,Coetzee 2013,Afroleius  crassus ,Afroleius crassus Coetzee 2013
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Haplozetidae,Afroleius,,decurvatus,,Coetzee 2013,Afroleius  decurvatus ,Afroleius decurvatus Coetzee 2013
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Haplozetidae,Afroleius,,deformatoides,,Coetzee 2013,Afroleius  deformatoides ,Afroleius deformatoides Coetzee 2013
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Haplozetidae,Afroleius,,floridus,,"(Mahunka, 1985)",Afroleius  floridus ,"Afroleius floridus (Mahunka, 1985)"
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Haplozetidae,Afroleius,,inae,,"Coetzee, 2014",Afroleius  inae ,"Afroleius inae Coetzee, 2014"
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Haplozetidae,Afroleius,,lucidus,,"Coetzee, 2015",Afroleius  lucidus ,"Afroleius lucidus Coetzee, 2015"
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Haplozetidae,Afroleius,,natalensis,,"Coetzee, 2014",Afroleius  natalensis ,"Afroleius natalensis Coetzee, 2014"
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Haplozetidae,Afroleius,,valerieae,,"Coetzee, 2014",Afroleius  valerieae ,"Afroleius valerieae Coetzee, 2014"
Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Afromarengo,,bimaculata,,"(Peckham & Peckham, 1903)",Afromarengo  bimaculata ,"Afromarengo bimaculata (Peckham & Peckham, 1903)"
Animalia,Arthropoda,Insecta,Diptera,Brachystomatidae,Afropeza,,pappi,,"Sinclair & Shamshev, 2012",Afropeza  pappi ,"Afropeza pappi Sinclair & Shamshev, 2012"
Animalia,Arthropoda,Insecta,Diptera,Brachystomatidae,Afropeza,,silvatica,,"Sinclair & Shamshev, 2012",Afropeza  silvatica ,"Afropeza silvatica Sinclair & Shamshev, 2012"
Animalia,Arthropoda,Insecta,Diptera,Brachystomatidae,Afropeza,,stuckenbergi,,"Sinclair & Shamshev, 2012",Afropeza  stuckenbergi ,"Afropeza stuckenbergi Sinclair & Shamshev, 2012"
Animalia,Mollusca,Gastropoda,Stylommatophora,Rhytididae,Afrorhytida,,burseyae,,"Herbert & Moussalli, 2010",Afrorhytida  burseyae ,"Afrorhytida burseyae Herbert & Moussalli, 2010"
Animalia,Mollusca,Gastropoda,Stylommatophora,Rhytididae,Afrorhytida,,knysnaensis,,"(Pfeiffer, 1846)",Afrorhytida  knysnaensis ,"Afrorhytida knysnaensis (Pfeiffer, 1846)"
Animalia,Mollusca,Gastropoda,Stylommatophora,Rhytididae,Afrorhytida,,kraussi,,"(Pfeiffer, 1846)",Afrorhytida  kraussi ,"Afrorhytida kraussi (Pfeiffer, 1846)"
Animalia,Mollusca,Gastropoda,Stylommatophora,Rhytididae,Afrorhytida,,trimeni,,"(Melvill & Ponsonby, 1892)",Afrorhytida  trimeni ,"Afrorhytida trimeni (Melvill & Ponsonby, 1892)"
Animalia,Arthropoda,Insecta,Diptera,Thaumaleidae,Afrothaumalea,,stuckenbergi,,"Sinclair, 2015",Afrothaumalea  stuckenbergi ,"Afrothaumalea stuckenbergi Sinclair, 2015"
Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Agdistis,,buffelsi,,"Kovtunovich & Ustjuzhanin, 2015",Agdistis  buffelsi ,"Agdistis buffelsi Kovtunovich & Ustjuzhanin, 2015"
Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Agdistis,,danutae,,"Kovtunovich & Ustjuzhanin, 2009",Agdistis  danutae ,"Agdistis danutae Kovtunovich & Ustjuzhanin, 2009"
Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Agdistis,,dicksoni,,"Kovtunovich & Ustjuzhanin, 2009",Agdistis  dicksoni ,"Agdistis dicksoni Kovtunovich & Ustjuzhanin, 2009"
Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Agdistis,,endrodyi,,"Kovtunovich & Ustjuzhanin, 2009",Agdistis  endrodyi ,"Agdistis endrodyi Kovtunovich & Ustjuzhanin, 2009"
Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Agdistis,,iversoni,,"Kovtunovich & Ustjuzhanin, 2015",Agdistis  iversoni ,"Agdistis iversoni Kovtunovich & Ustjuzhanin, 2015"
Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Agdistis,,jansei,,"Kovtunovich & Ustjuzhanin, 2009",Agdistis  jansei ,"Agdistis jansei Kovtunovich & Ustjuzhanin, 2009"
Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Agdistis,,kaunda,,"Kovtunovich & Ustjuzhanin, 2015",Agdistis  kaunda ,"Agdistis kaunda Kovtunovich & Ustjuzhanin, 2015"
Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Agdistis,,kronii,,"Kovtunovich & Ustjuzhanin, 2009",Agdistis  kronii ,"Agdistis kronii Kovtunovich & Ustjuzhanin, 2009"
Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Agdistis,,kruegeri,,"Kovtunovich & Ustjuzhanin, 2009",Agdistis  kruegeri ,"Agdistis kruegeri Kovtunovich & Ustjuzhanin, 2009"
Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Agdistis,,potgieteri,,"Kovtunovich & Ustjuzhanin, 2009",Agdistis  potgieteri ,"Agdistis potgieteri Kovtunovich & Ustjuzhanin, 2009"
Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Agdistis,,samknotti,,"Kovtunovich & Ustjuzhanin, 2015",Agdistis  samknotti ,"Agdistis samknotti Kovtunovich & Ustjuzhanin, 2015"
Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Agdistis,,vansoni,,"Kovtunovich & Ustjuzhanin, 2015",Agdistis  vansoni ,"Agdistis vansoni Kovtunovich & Ustjuzhanin, 2015"
Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Agdistis,,varii,,"Kovtunovich & Ustjuzhanin, 2009",Agdistis  varii ,"Agdistis varii Kovtunovich & Ustjuzhanin, 2009"
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Agriocnemis,,pinheyi,,"Balinsky, 1963",Agriocnemis  pinheyi ,"Agriocnemis pinheyi Balinsky, 1963"
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Akatiomyia,,eremnos,,"Londt, 2013",Akatiomyia  eremnos ,"Akatiomyia eremnos Londt, 2013"
Animalia,Chordata,Actinopterygii,Albuliformes,Albulidae,Albula,,oligolepis,,"Hidaka, Iwatsuki & Randall, 2008",Albula  oligolepis ,"Albula oligolepis Hidaka, Iwatsuki & Randall, 2008"
Animalia,Arthropoda,Hexanauplia,Siphonostomatoida,Caligidae,Alebion,,carchariae,,"Kroyer, 1863",Alebion  carchariae ,"Alebion carchariae Kroyer, 1863"
Animalia,Arthropoda,Hexanauplia,Siphonostomatoida,Lernaeopodidae,Alella,,gibbosa,,"van Niekerk & Olivier, 1995",Alella  gibbosa ,"Alella gibbosa van Niekerk & Olivier, 1995"
Animalia,Arthropoda,Hexanauplia,Siphonostomatoida,Lernaeopodidae,Alella,,pagelli,,"Kroyer, 1863",Alella  pagelli ,"Alella pagelli Kroyer, 1863"
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Aleurodamaeidae,Aleurodamaeus,,angelae,,Hugo-Coetzee 2013,Aleurodamaeus  angelae ,Aleurodamaeus angelae Hugo-Coetzee 2013
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Aleurodamaeidae,Aleurodamaeus,,minutus,,Hugo-Coetzee 2013,Aleurodamaeus  minutus ,Aleurodamaeus minutus Hugo-Coetzee 2013
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Aleurodamaeidae,Aleurodamaeus,,niedbalai,,Hugo-Coetzee 2013,Aleurodamaeus  niedbalai ,Aleurodamaeus niedbalai Hugo-Coetzee 2013
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Aleurodamaeidae,Aleurodamaeus,,prominens,,"Hugo-Coetzee, 2013",Aleurodamaeus  prominens ,"Aleurodamaeus prominens Hugo-Coetzee, 2013"
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Aleurodamaeidae,Aleurodamaeus,,salvadordalii,,Hugo-Coetzee 2013,Aleurodamaeus  salvadordalii ,Aleurodamaeus salvadordalii Hugo-Coetzee 2013
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Aleurodamaeidae,Aleurodamaeus,,vicinus,,Hugo-Coetzee 2013,Aleurodamaeus  vicinus ,Aleurodamaeus vicinus Hugo-Coetzee 2013
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Aleurodamaeidae,Aleurodamaeus,,woasi,,"Hugo-Coetzee, 2013",Aleurodamaeus  woasi ,"Aleurodamaeus woasi Hugo-Coetzee, 2013"
Animalia,Annelida,Polychaeta, Phyllodocida,Nereididae,Allita,,succinea,,"Leuckart, 1847",Allita succinea ,"Allita succinea Leuckart, 1847"
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Allodapula,,variegate,,(Smith 1854),Allodapula  variegate ,Allodapula variegate (Smith 1854)
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Amatolacypris,,trevelyani,,"Günther, 1877",Amatolacypris trevelyani ,"Amatolacypris trevelyani Günther, 1877"
Animalia,Arthropoda,Arachnida,Araneae,Anyphaenidae,Amaurobioides,,africana,,"Hewitt, 1917",Amaurobioides africana ,"Amaurobioide africana Hewitt, 1917"
